periodo_dal,periodo_al,aliquota_totale,aliquota_datore_lavoro,aliquota_lavoratore,fonte_id,sistema,note
1920-07-01,1939-04-30,4.55,2.275,2.275,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1939-05-01,1943-03-31,9.04,4.52,4.52,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1943-04-01,1945-11-30,12.02,8.013333333333332,4.006666666666667,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1945-12-01,1946-04-30,19.52,13.013333333333332,6.506666666666667,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1946-05-01,1946-12-31,19.52,13.013333333333332,6.506666666666667,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1947-01-01,1947-04-30,17.57,11.713333333333335,5.8566666666666665,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1947-05-01,1947-08-31,18.87,12.580000000000002,6.29,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1947-09-01,1948-07-31,30.87,20.58,10.290000000000001,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1948-08-01,1950-12-31,20.02,13.346666666666668,6.673333333333333,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1951-01-01,1952-04-30,21.52,14.346666666666668,7.173333333333333,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1952-05-01,1952-12-31,9.18,6.18,3.0,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1953-01-01,1955-08-31,9.18,6.18,3.0,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1955-09-01,1957-12-31,9.38,6.330000000000001,3.05,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1958-01-01,1958-03-31,11.78,7.93,3.85,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1958-04-01,1959-12-31,11.76,7.91,3.85,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1960-01-01,1961-12-31,15.91,10.66,5.25,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1962-01-01,1962-06-30,17.41,11.66,5.75,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1962-07-01,1962-07-31,21.16,14.16,7.0,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1962-08-01,1962-09-30,21.16,14.16,7.0,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1962-10-01,1963-06-30,21.13,14.129999999999999,7.0,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1963-07-01,1963-12-31,22.93,15.33,7.6,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1964-01-01,1964-08-31,19.13,12.78,6.35,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1964-09-01,1965-10-31,18.78,12.780000000000001,6.0,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1965-11-01,1966-12-31,18.76,12.760000000000002,6.0,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1967-01-01,1968-07-31,19.11,12.76,6.35,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1968-08-01,1970-12-31,20.76,13.860000000000001,6.9,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1971-01-01,1971-12-31,19.11,12.209999999999999,6.9,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1972-01-01,1973-12-31,19.21,12.31,6.9,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1974-01-01,1974-05-16,20.21,13.56,6.65,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1974-05-17,1975-05-31,20.11,13.459999999999999,6.65,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1975-06-01,1975-12-31,21.51,14.71,6.8,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1976-01-01,1980-02-29,23.51,16.36,7.15,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1980-03-01,1982-06-30,24.21,17.060000000000002,7.15,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1982-07-01,1982-12-31,24.51,17.36,7.15,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1983-01-01,1985-12-31,24.71,17.560000000000002,7.15,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1986-01-01,1988-12-31,25.71,18.560000000000002,7.15,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1989-01-01,1991-04-30,26.12,18.830000000000002,7.29,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1991-05-01,1992-06-30,26.37,18.830000000000002,7.54,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1992-07-01,1992-12-31,26.97,18.83,8.14,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1993-01-01,1995-09-30,27.17,18.830000000000002,8.34,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1995-10-01,1995-12-31,27.77,19.23,8.54,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1996-01-01,1997-12-31,32.9,24.009999999999998,8.89,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
1998-01-01,2026-12-31,32.7,23.810000000000002,8.89,inps_aliquote_storiche,FPLD lavoratori dipendenti,Aliquote contributive IVS in vigore nel FPLD secondo allegato storico INPS.
